insu_id,inca_id,name,description,code,icon_uri
21,5,Public Property Damage,"Damage to public assets like parks, monuments, or street furniture.",public_property_damage,public_property_damage.png
22,6,Suspicious Person,"Observations of individuals exhibiting unusual or concerning behavior that may warrant further attention.",suspicious_person,suspicious_person.png
23,6,Suspicious Vehicle,"Vehicles acting in an odd or unexplained manner, which could indicate potential criminal activity.",suspicious_vehicle,suspicious_vehicle.png
24,6,Unusual Behavior,"Any behavior that deviates from the norm and raises concerns for safety or security.",unusual_behavior,unusual_behavior.png
25,6,Other Suspicious Activity,"Any other behavior or situation that appears out of place and may require further investigation.",other_suspicious_activity,other_suspicious_activity.png
26,7,Road Damage/Potholes,"Damage to road surfaces, such as potholes or cracks, that may affect driving safety.",road_damage_potholes,road_damage_potholes.png
27,7,Streetlight/Traffic Signal Failure,"Malfunctions or outages in public lighting or traffic control systems.",streetlight_traffic_signal_failure,streetlight_traffic_signal_failure.png
28,7,Sidewalk/Pathway Damage,"Deterioration or hazards on pedestrian pathways and sidewalks.",sidewalk_pathway_damage,sidewalk_pathway_damage.png
29,7,Public Utility Issues,"Problems affecting essential public services like water, electricity, or gas supply.",public_utility_issues,public_utility_issues.png
30,7,Structural Damage,"Damage to critical infrastructure, such as bridges, public buildings, or monuments.",structural_damage,structural_damage.png
31,8,Heavy Rain/Flooding,"Incidents of intense rainfall that result in flooding or water accumulation on streets.",heavy_rain_flooding,heavy_rain_flooding.png
32,8,Snow Storm,"Severe winter weather conditions characterized by heavy snowfall and reduced visibility.",snow_storm,snow_storm.png
33,8,Icy Road Conditions,"Hazardous conditions on roadways due to ice formation, increasing the risk of accidents.",icy_roads,icy_roads.png
34,8,High Winds/Tornado,"Events involving extremely strong winds or tornado formation that can cause significant damage.",high_winds_tornado,high_winds_tornado.png
35,8,Extreme Heat,"Periods of unusually high temperatures that may pose health risks and strain resources.",extreme_heat,extreme_heat.png
36,8,Hail/Severe Storm,"Storms that produce large hail or other severe weather phenomena leading to property damage or hazards.",hail_severe_storm,hail_severe_storm.png
37,9,Festival/Fair,"Organized community celebrations, festivals, or fairs that bring people together.",festival_fair,festival_fair.png
38,9,Public Gathering/Rally,"Large-scale meetings, rallies, or protests that involve community participation.",public_gathering_rally,public_gathering_rally.png
39,9,Concert/Performance,"Public musical or performance events, either outdoor or in community venues.",concert_performance,concert_performance.png
40,9,Community Meeting/Block Party,"Neighborhood gatherings or block parties designed to foster community interaction.",community_meeting_block_party,community_meeting_block_party.png
41,9,Sporting Event,"Organized sports matches or community athletic events that engage local residents.",sporting_event,sporting_event.png
42,10,Moose,"Sightings of moose, a common and sometimes unpredictable species in Canada.",moose,moose.png
43,10,Cougar,"Observations of cougars, which may pose a risk in certain areas.",cougar,cougar.png
44,10,Bear,"Reports of bear sightings, including grizzlies and black bears.",bear,bear.png
45,10,Wolf,"Encounters with wolves, common in some regions of Canada.",wolf,wolf.png
46,10,Coyotes,"Sightings of coyotes, which are prevalent in urban and rural settings.",coyotes,coyotes.png
47,10,Bigfoot,"Unverified sightings that could be attributed to local folklore.",bigfoot,bigfoot.png
48,11,Good Samaritan Acts,"Reports of individuals who step in to help others during emergencies or crises without expecting anything in return.",good_samaritan_acts,good_samaritan_acts.png
49,11,Community Service,"Instances of organized or spontaneous volunteer efforts that benefit the community at large.",community_service,community_service.png
50,11,Environmental Stewardship,"Actions aimed at protecting or enhancing the local environment, such as community cleanups or tree plantings.",environmental_stewardship,environmental_stewardship.png
51,11,Neighborly Assistance,"Examples of neighbors or community members helping each other with everyday tasks or in times of need.",neighborly_assistance,neighborly_assistance.png
52,11,Random Acts of Kindness,"Spontaneous and unexpected gestures that spread positivity and support throughout the community.",random_acts_of_kindness,random_acts_of_kindness.png
53,12,Dog,"Lost or found dog. Please provide breed, color, and distinctive features.",lost_dog,lost_dog.png
54,12,Cat,"Lost or found cat. Please provide details such as color, size, and any identifying marks.",lost_cat,lost_cat.png
55,12,Bird,"Lost or found bird. Include species if known and description of plumage.",lost_bird,lost_bird.png
56,12,Reptile,"Lost or found reptile. Include details about the species and any unique markings.",lost_reptile,lost_reptile.png
57,12,Other,"Lost or found pet that does not fit into the above categories. Please provide additional details.",lost_other,lost_other.png
